PropertyCategory,DateOfCall,Notional Cost (£)
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1056.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Non Residential,22 Feb 2022,352.0
Outdoor,22 Feb 2022,704.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1056.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1056.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1408.0
Outdoor,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1760.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Other Residential,22 Feb 2022,704.0
Road Vehicle,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,704.0
Outdoor,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,0.0
Dwelling,22 Feb 2022,1056.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1056.0
Other Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Outdoor,22 Feb 2022,704.0
Road Vehicle,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Other Residential,22 Feb 2022,1056.0
Non Residential,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,1760.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1408.0
Dwelling,22 Feb 2022,704.0
Other Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor,22 Feb 2022,352.0
Other Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Dwelling,22 Feb 2022,704.0
Other Residential,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,704.0
Road Vehicle,22 Feb 2022,704.0
Dwelling,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,9152.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,1760.0
Non Residential,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,704.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Outdoor Structure,22 Feb 2022,352.0
Non Residential,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Dwelling,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,704.0
Outdoor,22 Feb 2022,352.0
Road Vehicle,22 Feb 2022,1408.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,1056.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,704.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,0.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Outdoor,23 Feb 2022,704.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,704.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,2816.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Outdoor,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,4224.0
Outdoor Structure,23 Feb 2022,704.0
Outdoor Structure,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,1056.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,704.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,704.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,1408.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,704.0
Dwelling,23 Feb 2022,704.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,0.0
Outdoor,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,704.0
Outdoor,23 Feb 2022,1408.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Non Residential,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,704.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,1056.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Road Vehicle,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,704.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Outdoor Structure,23 Feb 2022,352.0
Other Residential,23 Feb 2022,352.0
Outdoor,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Non Residential,23 Feb 2022,352.0
Dwelling,23 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,0.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Outdoor Structure,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,352.0
Non Residential,24 Feb 2022,1760.0
Road Vehicle,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor Structure,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,1056.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Outdoor,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,1408.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,1408.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,1056.0
Outdoor,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Outdoor,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,0.0
Outdoor Structure,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,0.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor Structure,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor Structure,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,1056.0
Dwelling,24 Feb 2022,704.0
Non Residential,24 Feb 2022,352.0
Other Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,1056.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Non Residential,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Outdoor,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,704.0
Dwelling,24 Feb 2022,352.0
Road Vehicle,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
Dwelling,24 Feb 2022,352.0
